autore,titolo,soggetto,editore,anno,collocazione,Lingua,ISBN,Classificazione,disponibile
AA. VV.,Dialettica della liberazione,Filosofia ,Einaudi,1969,C2,,,,si
AA. VV.,Critica della tolleranza,Filosofia ,Einaudi,1968,C2,,,,si
Augias-Cacitti,Inchiesta sul cristianesimo,Filosofia ,Mondadori,2008,C2,,,,si
Augias-Pesce,Inchiesta su Gesù (2 copie),Filosofia ,Mondadori,2006,C2,,,,si
Bodei Remo,Hegel e la dialettica,Filosofia ,Repubblica,2011,C1,,,,si
Ciliberto Michele,Giordano Bruno e la filosofia del rinascimento,Filosofia ,Repubblica,2011,C1,,,,si
Confucio,La grande dottrina. Il giusto mezzo.,Filosofia ,Rizzoli,1996,C2,,,,si
Curi Umberto,Marx e la rivoluzione,Filosofia ,Repubblica,2011,C1,,,,si
Dal Pra Mario,Sommario di storia della filosofia I-III,Filosofia ,Nuova Italia,1983,C1,,,,si
De Crescenzo Luciano,Storia della filosofia greca - I presocratici,Filosofia ,Mondadori,1988,D1,,,,si
De Crescenzo Luciano,Storia della filosofia greca - Da Socrate in poi,Filosofia ,Mondadori,1988,D1,,,,si
De Monticelli Roberta,"Agostino, Tommaso e la filosofia medievale",Filosofia ,Repubblica,2011,C1,,,,si
Ferraris Maurizio,"Socrate, Platone, Aristotele",Filosofia ,Repubblica,2011,C1,,,,si
Ferraris Maurizio,Kant e l'illuminismo,Filosofia ,Repubblica,2011,C1,,,,si
Ferraris Maurizio,Nitzsche e la volontà di potenza,Filosofia ,Repubblica,2011,C1,,,,si
Ferraris Maurizio,Derridà e la decostruzione,Filosofia ,Repubblica,2011,C1,,,,si
Fichte Johann,La missione del dotto,Filosofia ,Editori Riuniti,1987,C2,,,,si
Galimberti Umberto,"Freud, Jung e la psicoanalisi",Filosofia ,Repubblica,2011,C1,,,,si
Garin Eugenio,Storia della filosofia italiana I-II,Filosofia ,Einaudi,1978,D1,,,,si
Ghisalberti Alessandro,La filosofia medievale,Filosofia ,Giunti,2002,C2,,,,si
Giorello Giulio,Popper e la filosofia della scienza,Filosofia ,Repubblica,2011,C1,,,,si
Hillman James,Il potere,Filosofia ,Mondadori,2002,C2,,,,si
Kant Emanuele,Progetto per una pace perpetua,Filosofia ,Rizzoli,1968,C2,,,,si
Kenny Anthony,Filosofia antica,Filosofia ,Einaudi,2012,C1,,,,si
Kenny Anthony,Filosofia medievale,Filosofia ,Einaudi,2012,C1,,,,si
Lamanna E. Paolo,Letture filosofiche I-III,Filosofia ,Le Monnier,1967,D1,,,,si
Marcuse Herbert,Cultura e società,Filosofia ,Einaudi,1969,C2,,,,si
Marcuse Herbert,Saggio sulla liberazione,Filosofia ,Einaudi,1969,C2,,,,si
Marcuse Herbert,La fine dell'utopia,Filosofia ,Laterza,1968,C2,,,,si
Marcuse Herbert,L'uomo a una dimensione,Filosofia ,Einaudi,1967,C2,,,,si
Odifreddi Piergiorgio,Einstein e la relatività,Filosofia ,Repubblica,2011,C1,,,,si
Odifreddi Piergiorgio,Russel e la logica del '900,Filosofia ,Repubblica,2011,C1,,,,si
Plebe Armando,Che cosa ha veramente detto Hegel,Filosofia ,Astrolabio,1968,C2,,,,si
Proto Mario,Introduzione a Marcuse,Filosofia ,Lacaita,1968,C2,,,,si
Rodotà Stefano,Foucault e le nuove forme del potere,Filosofia ,Repubblica,2011,C1,,,,si
Rossi Paolo,Newton e la rivoluzione scientifica,Filosofia ,Repubblica,2011,C1,,,,si
Rousseau Jean-Jacques,Saggio sull'origine delle lingue,Filosofia ,Einaudi,1989,C2,,,,si
Russell Bertrand,Storia delle idee del secolo XIX,Filosofia ,Mondadori,1968,C2,,,,si
Russell Bertrand,La saggezza dell'Occidente,Filosofia ,Longanesi,1971,D1,,,,si
Russell Bertrand,Storia della filosofia occidentale,Filosofia ,Longanesi,1977,D1,,,,si
Russell Bertrand,I problemi della filosofia,Filosofia ,Feltrinelli,1973,D1,,,,si
Russell Bertrand,Russel dice la sua,Filosofia ,Longanesi,1968,D1,,,,si
Russell Bertrand,La conquista della felicità,Filosofia ,Longanesi,1967,D1,,,,si
Russell Bertrand,"Socialismo, anarchismo, sindacalismo",Filosofia ,Longanesi,1968,D1,,,,si
Russell Bertrand,Matrimonio e morale,Filosofia ,Longanesi,1966,D1,,,,si
Russell Bertrand,Perché non sono cristiano,Filosofia ,Longanesi,1960,D1,,,,si
Russell Bertrand,Scienza e religione,Filosofia ,Longanesi,1974,D1,,,,si
